municipio,populacao,escolarizacao,idhm,ruralidade,0 a 19,20 a 39,40 a 59,60+
AMPARO DE SAO FRANCISCO,2386,97.4,0.611,20,875,742,422,251
AQUIDABA,21796,98.6,0.578,43,7661,6271,3970,2413
ARACAJU,672614,97.4,0.77,0,182074,220435,131801,53391
ARAUA,9840,98.3,0.595,59,3810,2998,1814,873
AREIA BRANCA,18825,98.0,0.579,52,6815,5820,3066,1463
BARRA DOS COQUEIROS,31439,91.7,0.649,17,9669,9212,5280,1898
BOQUIM,26980,97.6,0.604,38,9703,8129,5210,2685
BREJO GRANDE,8396,98.5,0.54,49,3536,2378,1258,667
CAMPO DO BRITO,18325,98.2,0.621,51,6205,5424,3361,1997
CANHOBA,4003,98.1,0.569,63,1639,1188,718,410
CANINDE DE SAO FRANCISCO,30894,96.8,0.567,44,11771,8461,3888,1613
CAPELA,34808,96.3,0.615,36,12561,10241,5572,3028
CARIRA,22393,98.2,0.588,45,7664,6354,3989,2338
CARMOPOLIS,17232,97.3,0.643,21,5807,4996,2504,823
CEDRO DE SAO JOAO,5929,99.1,0.623,11,1937,1765,1233,737
CRISTINAPOLIS,18181,97.5,0.553,50,7378,5436,2769,1276
CUMBE,4008,99.0,0.604,41,1401,1235,731,472
DIVINA PASTORA,5290,98.2,0.61,52,1838,1463,809,377
ESTANCIA,69919,98.6,0.647,15,24539,21762,12965,5960
FEIRA NOVA,5617,96.7,0.584,33,2162,1666,1001,534
FREI PAULO,15688,96.9,0.589,41,5257,4740,2705,1460
GARARU,11599,95.6,0.564,76,4466,3630,2175,1141
GENERAL MAYNARD,3421,97.7,0.645,38,1121,1028,577,283
GRACHO CARDOSO,5831,96.0,0.577,53,2058,1756,1173,678
ILHA DAS FLORES,8522,97.9,0.562,35,3602,2502,1432,823
INDIAROBA,18337,98.3,0.58,65,7379,4998,2577,1282
ITABAIANA,96839,96.4,0.642,23,32125,30868,17478,8030
ITABAIANINHA,42399,98.0,0.556,51,16283,12603,7104,3442
ITABI,4869,96.2,0.602,45,1750,1410,1144,638
ITAPORANGA D'AJUDA,35054,90.4,0.561,61,12559,10600,5344,2662
JAPARATUBA,19067,98.0,0.621,54,6594,5572,3396,1651
JAPOATA,13422,97.7,0.56,67,5257,4182,2254,1233
LAGARTO,106015,98.0,0.625,49,35637,31198,19733,10034
LARANJEIRAS,30327,96.1,0.642,21,10911,9897,4847,1787
MACAMBIRA,7002,95.6,0.583,53,2365,2005,1338,784
MALHADA DOS BOIS,3715,97.5,0.599,54,1396,1136,655,307
MALHADOR,12689,97.6,0.587,54,4582,3957,2398,1190
MARUIM,17328,98.3,0.618,27,6476,5753,2975,1274
MOITA BONITA,11361,96.8,0.587,59,3713,3622,2216,1487
MONTE ALEGRE DE SERGIPE,15315,96.2,0.553,41,5925,4505,2394,1112
MURIBECA,7653,99.0,0.626,56,2805,2481,1371,724
NEOPOLIS,18688,92.9,0.589,44,7215,5868,3518,1892
NOSSA SENHORA APARECIDA,8822,96.8,0.577,60,3046,2802,1729,966
NOSSA SENHORA DA GLORIA,37715,98.0,0.587,34,12597,11373,6347,3024
NOSSA SENHORA DAS DORES,26957,98.1,0.6,35,9483,8048,4846,2564
NOSSA SENHORA DE LOURDES,6509,98.0,0.598,48,2421,1928,1275,647
NOSSA SENHORA DO SOCORRO,187733,96.4,0.664,4,64288,58521,33955,8430
PACATUBA,14650,97.4,0.555,80,5660,4245,2259,1215
PEDRA MOLE,3309,96.5,0.593,60,1043,1014,641,328
PEDRINHAS,9727,97.5,0.592,27,3673,2757,1716,824
PINHAO,6678,97.0,0.583,45,2175,1915,1272,722
PIRAMBU,9436,96.8,0.603,42,3539,2774,1534,691
POCO REDONDO,35461,96.8,0.529,73,14381,9733,5081,2419
POCO VERDE,24003,98.8,0.561,44,8274,6727,4463,2823
PORTO DA FOLHA,28788,97.1,0.568,64,11239,8751,4811,2569
PROPRIA,29756,99.6,0.661,15,10517,9242,6015,2838
RIACHAO DO DANTAS,19813,94.4,0.539,75,7814,5976,3558,2066
RIACHUELO,10354,98.5,0.617,17,3831,3331,1658,689
RIBEIROPOLIS,18891,98.5,0.613,31,5946,5817,3484,2188
ROSARIO DO CATETE,11158,97.4,0.631,30,3787,3335,1764,655
SALGADO,20051,97.9,0.609,66,7528,6336,3682,1893
SANTA LUZIA DO ITANHY,14205,97.3,0.545,78,6449,4269,2323,1040
SANTANA DO SAO FRANCISCO,7906,99.6,0.59,43,1536,1161,671,405
SANTA ROSA DE LIMA,3933,98.7,0.592,36,2938,2429,1195,613
SANTO AMARO DAS BROTAS,12200,97.6,0.637,29,4417,3822,2203,1080
SAO CRISTOVAO,92090,97.7,0.662,16,30174,28685,16415,5737
SAO DOMINGOS,11276,97.0,0.588,50,3977,3367,1925,1155
SAO FRANCISCO,3837,98.1,0.587,30,1308,1148,718,350
SAO MIGUEL DO ALEIXO,3964,98.1,0.567,53,1451,1170,701,414
SIMAO DIAS,40724,98.8,0.604,48,14293,12368,7640,4687
SIRIRI,9046,98.9,0.609,61,3318,2585,1470,796
TELHA,3271,99.5,0.604,62,1158,1013,570,265
TOBIAS BARRETO,52861,94.3,0.557,33,18280,15445,9676,5375
TOMAR DO GERU,13534,97.6,0.551,63,5275,4137,2276,1170
UMBAUBA,25800,98.2,0.579,38,9441,7712,4236,1834
